,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,SO,W,L,G,SV,H,ER,HR,BB,ERA,WHIP,ERA+,FIP
156,rogerst01,13,1985,0,1,0,5,406,1621,158,152,399,2,2619,1001,151,876,3.174791495360038,1.2316457183131682,119.36193791462838,3.196367672970751
157,cadargr01,10,1998,0,0,0,0,451,539,38,32,451,14,716,321,58,403,3.9884951679705476,1.5448688449148642,104.1279864903901,5.170784169351126
158,grimebu01,19,1934,1,11,1,0,632,1512,270,212,616,18,4412,1638,148,1295,3.5267942583732057,1.365311004784689,108.84591831866487,3.9454015151515147
159,thomsjo01,10,2007,0,0,0,0,216,800,63,85,216,0,1398,661,154,369,4.683022828653897,1.3909734977696142,95.42214534498456,4.740076620309631
160,bendech01,16,1925,1,3,3,0,499,1711,212,127,459,34,2645,823,40,712,2.4550878355982766,1.1126947298641034,127.44715293260614,2.293766103193017
161,delucri01,10,1999,0,0,0,0,320,502,38,51,320,7,590,320,91,299,4.615384615384615,1.4246794871794872,92.8595488004892,5.000802884615385
162,dwyerfr01,12,1899,0,0,0,0,401,565,177,151,366,6,3312,1204,108,764,3.8439162823696345,1.445902802412203,103.15286148994919,4.852515667494383
163,ryanno01,27,1993,1,2,1,8,807,5714,324,292,807,3,3923,1911,321,2795,3.1932788711474194,1.24730783512811,117.58730350372693,2.9710045797747244
164,whitewi01,10,1886,0,0,0,0,408,1041,229,166,403,0,3440,896,65,496,2.2762514113662027,1.1110274745954083,131.877589885013,2.981264301844185
165,shortch02,15,1973,0,0,0,2,505,1629,135,132,501,18,2215,886,183,806,3.4296774193548387,1.2993548387096774,104.6926143155699,3.2692473118279572
166,bowmajo01,11,1945,0,0,0,0,418,502,77,96,298,11,1656,717,102,484,4.402774619058449,1.460086422560837,90.41797829506409,4.5322210598135095
167,appieke01,16,2004,0,0,1,1,414,1994,169,137,414,0,2425,1078,232,933,3.738248137683021,1.2938607757513485,115.3721942383772,4.196255201643976
168,boevejo01,12,1996,0,0,0,0,516,541,34,45,516,49,751,329,75,343,3.9253203711886875,1.450287229341582,103.62614690082006,4.927535130357931
169,tewksbo01,13,1998,0,0,0,1,304,812,110,102,302,1,2043,787,142,292,3.9197565024903156,1.292197011621472,105.60210141470188,3.7325923261390885
170,dalcabr01,11,1977,0,0,0,0,316,485,51,49,316,19,894,380,48,391,3.6721546170365067,1.3797423049391553,97.29705941535808,3.7078937007874018
171,mahleri01,13,1991,0,0,0,0,394,952,96,111,392,6,2069,866,165,606,3.994192005466348,1.3708575333105568,97.15744646266185,3.962598223436967
172,roepr01,12,1954,0,2,0,5,333,956,127,84,333,10,1907,730,199,504,3.4320041790005225,1.2594462824307853,113.39666878841872,3.692724360090545
173,powelja01,16,1912,0,0,0,0,585,1621,245,255,578,15,4319,1450,110,1021,2.9733424470266576,1.216678058783322,103.0325532829363,3.1389505582137165
174,arrigge01,10,1970,0,0,0,0,195,433,35,40,194,4,605,285,56,291,4.137096774193548,1.4451612903225806,86.60984717063816,3.9960510752688174
175,graydo02,10,1933,0,1,0,0,379,730,111,115,379,22,2196,907,111,639,4.183293474547318,1.452852750256235,99.71320254775702,4.087840963443799
176,marbefi01,14,1936,0,0,1,0,551,822,148,88,551,101,2049,834,96,686,3.6307642695904545,1.3229603353756854,115.56008603369874,3.943422121896162
177,klippjo01,18,1967,0,0,1,0,713,1158,101,118,711,66,1915,927,203,978,4.240047433508385,1.4702693545654753,89.64006149185006,4.486083686261224
